#DB_VERSION: 1,,,,,,,,,,,,,,,,,,,,
#No,Connection_ID,Tag,Describe,LOW,HI,Unit,Device_ID,Comment,Station_ID,List_No,TestValue,TotalOffset,Chassis,Slot,Channel,OverLower(/100%),OverUpper(/100%),OverDeadZone,OverSettings,Type
#,,,,,,,,,,,,,,,,,,,,
#YJ5_38,,,,,,,,,,,,,,,,,,,,
89,1,ZARE059MN,RCP2GV WATER LVL NR,-1.8,1.8,m,120,SIMHW_RPC,118,10696,-2.75E-05,0x15029c8,4,3,15,0.1,0.1,0,4,
90,1,ZARE060MN,RCP3GV WATER LVL NR,-1.8,1.8,m,120,SIMHW_RPC,118,10700,-2.75E-05,0x15029cc,4,3,16,0.1,0.1,0,4,
91,1,ZARE061MN,RCP1GV WATER LVL WR,-12.65,3.25,m,120,SIMHW_RPC,118,10720,-1.502816,0x15029e0,4,4,1,0.1,0.1,0,4,
92,1,ZARE062MN,RCP2GV WATER LVL WR,-12.65,3.25,m,120,SIMHW_RPC,118,10724,-1.502816,0x15029e4,4,4,2,0.1,0.1,0,4,
93,1,ZARE063MN,RCP3GV WATER LVL WR,-12.65,3.25,m,120,SIMHW_RPC,118,10728,-1.502816,0x15029e8,4,4,3,0.1,0.1,0,4,
94,1,ZASG001MD,SG1 MAFP FLOW(WR),0,1,-,120,SIMHW_RPC,118,10732,1.34E-05,0x15029ec,4,4,4,0.1,0.1,0,4,
95,1,ZASG001MN,001BA LEVEL,0.3,15.4,m,120,SIMHW_RPC,118,10736,13.40072,0x15029f0,4,4,5,0.1,0.1,0,4,
96,1,ZASG002MD,SG2 MAFP FLOW(WR),0,1,-,120,SIMHW_RPC,118,10740,1.34E-05,0x15029f4,4,4,6,0.1,0.1,0,4,
97,1,ZASG003MD,SG3 MAFP FLOW(WR),0,1,-,120,SIMHW_RPC,118,10744,1.34E-05,0x15029f8,4,4,7,0.1,0.1,0,4,
98,1,ZASG011MN,001BA LEVEL,0.3,15.4,m,120,SIMHW_RPC,118,10748,13.40072,0x15029fc,4,4,8,0.1,0.1,0,4,
99,1,ZASG021MD,SG1 TAFP FLOW(WR),0,1,-,120,SIMHW_RPC,118,10752,1.34E-05,0x1502a00,4,4,9,0.1,0.1,0,4,
100,1,ZASG022MD,SG2 TAFP FLOW(WR),0,1,-,120,SIMHW_RPC,118,10756,1.34E-05,0x1502a04,4,4,10,0.1,0.1,0,4,
101,1,ZASG023MD,SG3 TAFP FLOW(WR),0,1,-,120,SIMHW_RPC,118,10760,1.34E-05,0x1502a08,4,4,11,0.1,0.1,0,4,
102,1,ZEAS003MN,RCIRULG.SUMP LEVEL,-3.4,-1,m,120,SIMHW_RPC,118,10764,-3.499992,0x1502a0c,4,4,12,0.1,0.1,0,4,
103,1,ZEAS004MN,RCIRULG.SUMP LEVEL,-3.4,-1,m,120,SIMHW_RPC,118,10768,-3.499992,0x1502a10,4,4,13,0.1,0.1,0,4,
104,1,ZEAS007MD,CONT.SPRAY FLOW,0,1,-,120,SIMHW_RPC,118,10772,1.34E-05,0x1502a14,4,4,14,0.1,0.1,0,4,
105,1,ZEAS008MD,CONT.SPRAY FLOW,0,1,-,120,SIMHW_RPC,118,10776,1.34E-05,0x1502a18,4,4,15,0.1,0.1,0,4,
106,1,ZETY101MP,CONTAINMENT PRES.,0,600,kPa.A,120,SIMHW_RPC,118,10780,97.91521,0x1502a1c,4,4,16,0.1,0.1,0,4,
107,1,ZETY102MP,CONTAINMENT PRES.,0,600,kPa.A,120,SIMHW_RPC,118,10800,97.91521,0x1502a30,4,5,1,0.1,0.1,0,4,
108,1,ZETY103MP,CONTAINMENT PRES.,0,600,kPa.A,120,SIMHW_RPC,118,10804,97.91521,0x1502a34,4,5,2,0.1,0.1,0,4,
109,1,ZETY104MP,CONTAINMENT PRES.,0,600,kPa.A,120,SIMHW_RPC,118,10808,97.91521,0x1502a38,4,5,3,0.1,0.1,0,4,
110,1,ZGRE022MP,TURB.ADMSN.PRES.,0.11,7.6,MPa,120,SIMHW_RPC,118,10812,6.030416,0x1502a3c,4,5,4,0.1,0.1,0,4,
111,1,ZGRE023MP,TURB.ADMSN.PRES.,0.11,7.6,MPa,120,SIMHW_RPC,118,10816,6.030416,0x1502a40,4,5,5,0.1,0.1,0,4,
112,1,ZGRE024MP,TURB.ADMSN.PRES.,0.11,7.6,MPa,120,SIMHW_RPC,118,10820,6.030416,0x1502a44,4,5,6,0.1,0.1,0,4,
113,1,ZPTR018MN,PTR 001BA LEVEL,0.5,16,m,120,SIMHW_RPC,118,10824,15.57826,0x1502a48,4,5,7,0.1,0.1,0,4,
114,1,ZPTR019MN,PTR 001BA LEVEL,0.5,16,m,120,SIMHW_RPC,118,10828,15.57826,0x1502a4c,4,5,8,0.1,0.1,0,4,
115,1,ZPTR020MN,PTR 001BA LEVEL,0.5,16,m,120,SIMHW_RPC,118,10832,15.57826,0x1502a50,4,5,9,0.1,0.1,0,4,
116,1,ZRCP005MP,PRESSURIZER PRESSURE,11,18,MPa,120,SIMHW_RPC,118,10836,15.40487,0x1502a54,4,5,10,0.1,0.1,0,4,
117,1,ZRCP006MP,PRESSURIZER PRESSURE,11,18,MPa,120,SIMHW_RPC,118,10840,15.40487,0x1502a58,4,5,11,0.1,0.1,0,4,
118,1,ZRCP007MN,PRESSURIZER LEVEL,-6,3.8,m,120,SIMHW_RPC,118,10844,0.1626095,0x1502a5c,4,5,12,0.1,0.1,0,4,
119,1,ZRCP008MN,PRESSURIZER LEVEL,-6,3.8,m,120,SIMHW_RPC,118,10848,0.1626095,0x1502a60,4,5,13,0.1,0.1,0,4,
120,1,ZRCP011MN,PRESSURIZER LEVEL,-6,3.8,m,120,SIMHW_RPC,118,10852,0.1626095,0x1502a64,4,5,14,0.1,0.1,0,4,
121,1,ZRCP013MP,PRESSURIZER PRESSURE,11,18,MPa,120,SIMHW_RPC,118,10856,15.40487,0x1502a68,4,5,15,0.1,0.1,0,4,
